retraction_id,paper_id,subjects,title,abstract,retraction_comment,page_count
1503.05487v2,1503.05487v1,Fluid Dynamics (physics.flu-dyn),Premixed Flame Dynamics in Narrow 2D Channels,"Premixed flames propagating within small channels show complex combustion phenomena that differ from flame propagation at conventional scales. Available experimental and numerical studies have documented stationary/non-stationary and/or asymmetric modes that depend on properties of the incoming reactant flow as well as channel geometry and wall temperatures. The present work seeks to illuminate mechanisms leading to symmetry-breaking and limit cycle behavior that are fundamental to these combustion modes. Specifically, four cases of lean premixed methane/air combustion -- two equivalence ratios (0.53 and 0.7) and two channel widths (2 and 5mm) -- are investigated in a 2D configuration with constant channel length and bulk inlet velocity, where numerical simulations are performed using detailed chemistry. External wall heating is simulated by imposing a linear temperature gradient as a boundary condition on both walls. In the 2mm-channel, both equivalence ratios produce flames that stabilize with symmetric flame fronts after propagating upstream. In the 5mm-channel, flame fronts start symmetric, although symmetry is broken almost immediately after ignition. Further, 5mm channels produce instationary combustion modes with dramatically different limit cycles: : in the leaner case ({\phi} = 0.53), the asymmetric flame front flops periodically, whereas in the richer case ({\phi} = 0.7), flames with repetitive extinctions and ignitions (FREI) are observed. In order to provide insights into mechanisms responsible for flame dynamics, reaction fronts and flame fronts are captured and differentiated. Results show that the loss of flame front symmetry originates in a region where negative stretch rates close to the flame cusp show large gradients/curvatures; thus, symmetry-breaking is attributed to a hydrodynamic instability. Limit cycle behavior is [...]","This paper has been withdrawn by authors, because there is a mistake in stretch rate calculation (in Equation 5, instead of u_n, the displacement speed should be used) that should be resolved",15
2108.04458v2,2108.04458v1,Data Structures and Algorithms (cs.DS),A Tight Analysis of Slim Heaps and Smooth Heaps,"The smooth heap and the closely related slim heap are recently invented self-adjusting implementations of the heap (priority queue) data structure. We analyze the efficiency of these data structures. We obtain the following amortized bounds on the time per operation: $O(1)$ for make-heap, insert, find-min, and meld; $O(\log\log n)$ for decrease-key; and $O(\log n)$ for delete-min and delete, where $n$ is the current number of items in the heap. These bounds are tight not only for smooth and slim heaps but for any heap implementation in Iacono and _zkan's pure heap model, intended to capture all possible ""self-adjusting"" heap implementations. Slim and smooth heaps are the first known data structures to match Iacono and _zkan's lower bounds and to satisfy the constraints of their model. Our analysis builds on Pettie's insights into the efficiency of pairing heaps, a classical self-adjusting heap implementation.",This paper was withdrawn by the authors due to a nontrivial error in Lemma 13. The proof does not adequately account for phantom links,27
1404.0068v2,1404.0068v1,Numerical Analysis (math.NA),A PDE approach to space-time fractional parabolic problems,This paper has been withdrawn by the authors. The regularity assumptions used in this paper were not realistic.,This paper has been withdrawn. The regularity assumptions used in this paper were not realistic,26
2105.01108v2,2105.01108v1,Information Theory (cs.IT),Consistent Density Estimation Under Discrete Mixture Models,"This work considers a problem of estimating a mixing probability density $f$ in the setting of discrete mixture models. The paper consists of three parts. The first part focuses on the construction of an $L_1$ consistent estimator of $f$. In particular, under the assumptions that the probability measure $\mu$ of the observation is atomic, and the map from $f$ to $\mu$ is bijective, it is shown that there exists an estimator $f_n$ such that for every density $f$ $\lim_{n\to \infty} \mathbb{E} \left[ \int |f_n -f | \right]=0$. The second part discusses the implementation details. Specifically, it is shown that the consistency for every $f$ can be attained with a computationally feasible estimator. The third part, as a study case, considers a Poisson mixture model. In particular, it is shown that in the Poisson noise setting, the bijection condition holds and, hence, estimation can be performed consistently for every $f$.",Reason for withdrawal: There is an issue with the proof of Theorem 1,6
2207.13135v3,2207.13135v2,Quantum Physics (quant-ph),Publicly verifiable quantum money from random lattices,"Publicly verifiable quantum money is a protocol for the preparation of quantum states that can be efficiently verified by any party for authenticity but is computationally infeasible to counterfeit. We develop a cryptographic scheme for publicly verifiable quantum money based on Gaussian superpositions over random lattices. We introduce a verification-of-authenticity procedure based on the lattice discrete Fourier transform, and subsequently prove the unforgeability of our quantum money under the hardness of the short vector problem from lattice-based cryptography.","We would like to withdraw our paper because the calculation of the effect of the shift of the Gaussian balls, in the 2nd full paragraph in the first column on page 4, is incorrect. In fact, there is an argument that no quantum money built along similar principles can work [[REDACTED-NAME], [REDACTED-NAME], and [REDACTED-NAME], private communication]",15
1402.7346v3,1402.7346v2,High Energy Physics - Theory (hep-th),Scale- versus Conformal Invariance Revisited,For a scale invariant theory with gauge-invariant local virial current we argue that the existence of a well defined ground state implies the vanishing of all conformal dilaton scattering amplitudes.,"The paper has been withdrawn by the authors. Equation (10) cannot be justified on general grounds. Therefore, the manuscript contains no new results beyond what is already contained in the literature",5
2004.05544v2,2004.05544v1,Combinatorics (math.CO),The categorical graph minor theorem,"We define the graph minor category and prove that the category of contravariant representations of the graph minor category over a Noetherian ring is locally Noetherian. This can be regarded as a categorification of the Robertson--Seymour graph minor theorem. In addition, we generalize Sam and Snowden's Gr_bner theory of categories to the setting of pairs consisting of a category along with a functor to sets, and we apply this theory to the edge functor on the graph minor category. As an application, we study homology groups of unordered configuration spaces of graphs, improving upon various finite generation results in this subject.","A gap has been discovered in the proof the main theorem, and specifically in the justification for Lemma 3.5. For now, the Categorical graph minor theorem will remain a conjecture. One can view the applications of this work to graph configuration spaces as being consequences of this conjecture, as their proofs are unaffected by the gap",20
1712.08549v4,1712.08549v3,Algebraic Topology (math.AT),Homology of Finite Topological Spaces,"A new method is given for computing generators of the homology groups with integer coefficients for any finite $T_0$-space. An important role in this method is played by irreducible cycles which are defined here and give rise to continuous injective maps between spaces called immersions. The so-called orb complex which is much smaller than the order complex induces a surjective map of its homology to the simplicial homology of the space. An analysis of the kernel of this map allows to define an effective algorithm for computing the homology groups, whose time complexity is polynomial in the size of the space.",Theorem 2.4 is incorrect,31
2005.09231v2,2005.09231v1,Algebraic Geometry (math.AG),The Abel-Jacobi map of the space of conics for double sextic threefolds,"Let $X$ be a double cover of $\mathbb P^3$ branched along a sextic surface $Y$. In this paper, we show that, for general $X$, the Abel-Jacobi map associated to the normalization $\tilde F(X)$ of the surface $F(X)$ of curves contained in $X$ which are preimages of lines bitangent to $Y$, gives an isogeny between the Albanese variety of $\tilde F(X)$ and the intermediate Jacobian of $X$.","We withdraw the paper, because Lemma 3.1 is not correct which makes Theorem 1.3 to be incorrect. Part of results is moved to to the arXiv paper, arXiv:2109.07655",16
1912.08060v2,1912.08060v1,Metric Geometry (math.MG),The dimension of projections induced by a curve,"The behavior of the Hausdorff dimension of a set when projected onto a subspace is a fundamental question in fractal geometry. In this paper, we settle a question of Fassler and Orponen concerning the dimension of a set when projected onto a family of lines induced by a curve.","The zero finding algorithm (Theorem 5) is seriously flawed. Although possible to compute the zero by adding an approximation of | <\dot{\gamma}(\theta), w> | to the advice string, doing so might increase the advice strings length by too large an amount",21
2010.00455v2,2010.00455v1,Representation Theory (math.RT),On the theta representations of finite inverse monoids,(I) We study Clifford-Mackey-Rieffel's theory for finite monoid; (II) We prove some results of Theta Representations of finite inverse monoids.,There are some mistakes on the semigroups. We only can get the result that it is a monoid not a finite monoid. Although it does not affect the result on representations. I will correct it,61
1808.10118v2,1808.10118v1,Applied Physics (physics.app-ph),Large scale changes in overtone resonances and resonant peak burning of HBAR with mass loading and its potential for applications,"This report presents the realization and characterization of a robust composite resonator i.e. high overtone bulk acoustic wave resonator (HBAR) and the changes happening to the resonance peaks once it undergoes mass loading which has got the potential for application in material characterization, communication system and sensing. Mass loading effect on a HBAR based on BaxSr1-xTiO3 (BST) have been demonstrated by coating photoresist of various thicknesses and characterization of resonance modes present in the frequency spectrum of the resonator. Upon investigation, HBAR proves to be one of the most promising and robust systems for gravimetric sensing. Burning effect in the resonances occurs and it shifts significantly according to the amount of mass loaded (increasing thickness of the photoresist coated) on the resonator system. Some of the most important parameters like effective coupling coefficient, spacing of parallel resonance frequency (SPRF) and quality factor of the resonator and its numerous modes have been investigated meticulously.",The Q factor of the polymer was not considered and hence the SPRF which was suppose to rise up at certain region defined by the acoustic property of the coating and its thickness did not show here in the report,7
1002.1610v2,1002.1610v1,Combinatorics (math.CO),Skew characters which contain only few components,"Wrong assumptions were made in the proof of Theorem 3.12 and Lemma 3.6. A preprint containing a correct proof for Lemma 3.6 is in preparation and will be uploaded later this month. So the results of section 3 are correct, apart from Theorem 3.12 and the remarks following Theorem 3.12.","Wrong assumptions were made in the proof of Theorem 3.12 and Lemma 3.6. A preprint containing a correct proof for Lemma 3.6 is in preparation and will be uploaded later this month. So the results of section 3 are correct, apart from Theorem 3.12 and the remarks following Theorem 3.12",24
